0a8737b,Ibrahim Adekunle,18 hours ago,Merge pull request #2 from hngi/develop
1c9476a,Ibrahim Adekunle,18 hours ago,test: updated the test script and package.json file
83a5d17,Anthony Anonde,18 hours ago,Merge pull request #56 from fosajeff/feat/about-page-view
e980ec6,Okekunle Oluwatobiloba,18 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into homepage-image-optimization
6dcaaf3,Okekunle Oluwatobiloba,18 hours ago,optimized the images on the frontpage
8d86f41,Jeffrey,18 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into feat/about-page-view
f31cca5,Jeffrey,18 hours ago,refactor
68b117d,olanetsoft,18 hours ago,Merge remote-tracking branch 'upstream/develop' into develop
257d35e,robertechie,19 hours ago,Merge pull request #54 from Hybee22/hybee-test-scripts
a014638,olanetsoft,19 hours ago,Merge remote-tracking branch 'upstream/develop' into develop
827bcdf,Jeffrey,19 hours ago,fix conflict
87cc6d1,Ibrahim Adekunle,19 hours ago,test: updated the test script and package.json file
4151d76,Jeffrey,19 hours ago,refactor code
20a31d2,Efosa Jeffrey,19 hours ago,Merge pull request #7 from onshimiye/feat/about-page-view
5c9441b,robertechie,19 hours ago,Merge pull request #53 from Hybee22/hybee-test-scripts
1c51748,onshimiye,19 hours ago,feat: spacing between image and text
f288121,onshimiye,19 hours ago,feat: added missing images
b269b50,Ibrahim Adekunle,20 hours ago,test: added tests for the signup ui components and api POST method
fe68401,Efosa Jeffrey,20 hours ago,Merge pull request #6 from Sahmie/feat/about-page-view
9ab10ce,Ibrahim Adekunle,20 hours ago,Merge pull request #1 from hngi/develop
3cf966f,sahmie,20 hours ago,remove authorization section images
7e48eef,sahmie,20 hours ago,fix conlict in aboutme.ejs
8f79983,olanetsoft,20 hours ago,Merge remote-tracking branch 'upstream/develop' into develop
dec4c72,sahmie,20 hours ago,add microservice section for authentication with images
5eb22a1,Eleam Emmanuel,21 hours ago,Merge pull request #52 from Dami-js/homepage
9e15330,olanetsoft,21 hours ago,Merge remote-tracking branch 'upstream/develop' into develop
62f5d4f,sjdammy,21 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into homepage
120ed1d,Efosa Jeffrey,21 hours ago,Merge pull request #5 from dreysongz/feat/about-page-view
71c8134,robertechie,21 hours ago,Merge pull request #51 from youngGaf/loginTest
b27de8b,youngGaf,21 hours ago,commit to unit login test
80df0e2,youngGaf,21 hours ago,Commint on unit test login
93cb801,Aduramimo Oludare,21 hours ago,Merge branch 'feat/about-page-view' into feat/about-page-view
1d85559,dreysongz,21 hours ago,Third microservice
0619cd1,sjdammy,21 hours ago,adjusted navbar on landscape mobile view
338018f,Jeffrey,22 hours ago,add media queries for about page
fe385e3,tobecci,22 hours ago,FIX: |Login page| uncommented image
36c29fc,dreysongz,22 hours ago,Dockerized microservices for managing company settings
c08d3fd,dreysongz,22 hours ago,Dockerized microservices for managing company settings
d3a0c10,youngGaf,22 hours ago,commit to unit login test
d53459b,tobecci,22 hours ago,FEAT: Creating the login page
73cd066,Anthony Anonde,23 hours ago,Merge pull request #44 from Frost199/readme
d9a88ce,Efosa Jeffrey,24 hours ago,Merge pull request #3 from mosiac05/feat/about-page-view
87ab1fb,Efosa Jeffrey,24 hours ago,Merge pull request #2 from Josh4324/joshdev
2ad037a,Moses Obute,24 hours ago,mosiac05: Added view more button and get amplified area
6f2aff7,Joshua Adesanya,24 hours ago,bug-fix
7e50cca,Jeffrey,27 hours ago,add managing users micro service section
84297ed,deeone2,28 hours ago,putting things together
b8d17b0,deeone2,29 hours ago,implemented unit test recommendationd
3b87195,Frost199,30 hours ago,docs: Update README
335de0e,Efosa Jeffrey,30 hours ago,Merge pull request #1 from Josh4324/joshdev
dc8a421,Joshua Adesanya,30 hours ago,feat/header
1f5d719,Frost199,31 hours ago,test: fix server shutdown
23e912c,Frost199,32 hours ago,fix: Update package.json
4802907,Frost199,32 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into git-workflow
afc03cb,olanetsoft,32 hours ago,Merge remote-tracking branch 'upstream/develop' into develop
8be4753,Anthony Anonde,32 hours ago,Merge pull request #33 from Frost199/home-page
f3627df,Frost199,32 hours ago,fix: Update to the css
44c5f73,Frost199,32 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into git-workflow
22ae7c4,tobecci,32 hours ago,SETUP: installed dependencies with npm
e260a3c,Anthony Anonde,32 hours ago,Merge pull request #37 from Dami-js/homepage
304c271,Frost199,33 hours ago,fix: updated branch
0fb5e43,Frost199,33 hours ago,Merge branch 'homepage' of https://github.com/Dami-js/Team-Incredible-BE into home-page
b208f79,sjdammy,33 hours ago,moved header, navbar and footer into partials
24820e6,olanetsoft,33 hours ago,Merge remote-tracking branch 'upstream/develop' into develop
5c990a9,olanetsoft,33 hours ago,.
f6f48a3,sjdammy,33 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into homepage
9066471,Frost199,33 hours ago,fix: modify github workflow
b2229d0,Frost199,33 hours ago,fix: resolve merge conflict with develop
1dbefdd,Frost199,33 hours ago,Merge branch 'github-workflow' of https://github.com/Frost199/Team-Incredible-BE into home-page
